Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
182,1/1/2016 7:53,1/1/2016 7:56,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074262530658,-74.06378388,24413,Subscriber,1987,2
636,1/1/2016 8:12,1/1/2016 8:22,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958611647166,-74.04311746,24531,Subscriber,1977,1
375,1/1/2016 8:18,1/1/2016 8:24,3195,Sip Ave,40.73074262530658,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24669,Subscriber,1983,1
368,1/1/2016 8:22,1/1/2016 8:28,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958611647166,-74.04311746,24653,Subscriber,1957,1
269,1/1/2016 8:46,1/1/2016 8:50,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958611647166,-74.04311746,24625,Subscriber,1979,1
562,1/1/2016 8:47,1/1/2016 8:57,3210,Pershing Field,40.74267714,-74.05178863,3210,Pershing Field,40.74267714,-74.05178863,24551,Subscriber,1956,1
613,1/1/2016 9:09,1/1/2016 9:19,3190,Garfield Ave Station,40.71046702,-74.0700388,3186,Grove St PATH,40.71958611647166,-74.04311746,24658,Subscriber,1988,1
788,1/1/2016 9:13,1/1/2016 9:26,3210,Pershing Field,40.74267714,-74.05178863,3186,Grove St PATH,40.71958611647166,-74.04311746,24389,Subscriber,1960,1
780,1/1/2016 9:30,1/1/2016 9:43,3203,Hamilton Park,40.72759597,-74.04424731,3183,Exchange Place,40.7162469,-74.0334588,24654,Subscriber,1956,2
523,1/1/2016 9:43,1/1/2016 9:51,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074262530658,-74.06378388,24493,Subscriber,1972,2
168,1/1/2016 9:45,1/1/2016 9:48,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,24444,Subscriber,1981,1
