station_id,station_name,station_latitude,station_longitude,start_station,city,neighbourhood,postcode
3186,Grove St PATH,40.71958611647166,-74.04311746358871,True,Jersey City,Downtown Jersey City,07302
3209,Brunswick St,40.7241765,-74.0506564,True,Jersey City,,07302
3195,Sip Ave,40.73074262530658,-74.06378388404846,True,Jersey City,Indian Square,07306
3211,Newark Ave,40.72152515,-74.046304543,True,Jersey City,,07302
3187,Warren St,40.7211236,-74.03805095,True,Jersey City,Newport,07302
3183,Exchange Place,40.7162469,-74.0334588,True,Jersey City,Downtown Jersey City,07302
3213,Van Vorst Park,40.71848892,-74.047726625,True,Jersey City,,07302
3193,Lincoln Park,40.7246050998869,-74.07840594649315,True,Jersey City,,07395
3194,McGinley Square,40.7253399253558,-74.06762212514877,True,Jersey City,,07306
3202,Newport PATH,40.7272235,-74.0337589,True,Jersey City,Newport,07310
3196,Riverview Park,40.7443187,-74.0439909,True,Jersey City,,07087
3214,Essex Light Rail,40.7127742,-74.0364857,True,Jersey City,Colgate Center,07302
3207,Oakland Ave,40.7376037,-74.0524783,True,Jersey City,,07306
3199,Newport Pkwy,40.7287448,-74.0321082,True,Jersey City,Newport,07310
3203,Hamilton Park,40.727595966,-74.044247311,True,Jersey City,Newport,07302
3210,Pershing Field,40.742677141,-74.051788633,True,Jersey City,,07307
3190,Garfield Ave Station,40.7104670233797,-74.07003879547119,True,Jersey City,,07304
3185,City Hall,40.7177325,-74.043845,True,Jersey City,Downtown Jersey City,07302
3197,North St,40.752559,-74.044725,True,Jersey City,,07307
3192,Liberty Light Rail,40.7112423,-74.0557013,True,Jersey City,,07302
3212,Christ Hospital,40.734785818,-74.050443636,True,Jersey City,,07306
3225,Baldwin at Montgomery,40.7236589,-74.0641943,True,Jersey City,,07306
3215,Central Ave,40.7467299,-74.0492509,True,Jersey City,,07307
3206,Hilltop,40.7311689,-74.0575736,True,Jersey City,Indian Square,07306
3184,Paulus Hook,40.7141454,-74.0335519,True,Jersey City,Colgate Center,07302
3205,JC Medical Center,40.71653978099194,-74.0496379137039,True,Jersey City,,07302
3198,Heights Elevator,40.74871594538023,-74.04044330120087,True,Jersey City,,07307
3220,5 Corners Library,40.73496102000952,-74.0595030784607,True,Jersey City,Indian Square,07306
3191,Union St,40.7182113,-74.0836394,True,Jersey City,,07304
3201,Dey St,40.737711,-74.066921,True,Jersey City,Indian Square,07306
3217,Bayside Park,40.698650544,-74.082079678,True,Jersey City,,07305
3188,NJCU,40.7101087,-74.0858489,True,Jersey City,,07305
3200,MLK Light Rail,40.7111305,-74.0788855,True,Jersey City,,07304
